"","year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","party_participation"
"96",2020,"MICHIGAN","MI","ALCONA",26001,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",4848,7064,20210622,"TOTAL",68.6296715741789
"97",2000,"MISSISSIPPI","MS","ALCORN",28003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",7254,12638,20191203,"TOTAL",57.398322519386
"98",2004,"MISSISSIPPI","MS","ALCORN",28003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",8605,14181,20191203,"TOTAL",60.6797828079825
"99",2008,"MISSISSIPPI","MS","ALCORN",28003,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",10805,15019,20191203,"TOTAL",71.9422065383847
"100",2012,"MISSISSIPPI","MS","ALCORN",28003,"PRESIDENT","MITT ROMNEY","REPUBLICAN",11111,14830,20191203,"TOTAL",74.9224544841537
"101",2016,"MISSISSIPPI","MS","ALCORN",28003,"PRESIDENT","DONALD TRUMP","REPUBLICAN",11819,14783,20191203,"TOTAL",79.949942501522
"102",2020,"MISSISSIPPI","MS","ALCORN",28003,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",12818,15793,20210622,"TOTAL",81.1625403659849
"103",2000,"NORTH CAROLINA","NC","ALEXANDER",37003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",9242,13492,20191203,"TOTAL",68.4998517640083
"104",2004,"NORTH CAROLINA","NC","ALEXANDER",37003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",10928,15600,20191203,"TOTAL",70.051282051282
"105",2008,"NORTH CAROLINA","NC","ALEXANDER",37003,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",11790,17254,20191203,"TOTAL",68.3319809899154
"106",2012,"NORTH CAROLINA","NC","ALEXANDER",37003,"PRESIDENT","MITT ROMNEY","REPUBLICAN",12253,17196,20191203,"TOTAL",71.2549430100023
"107",2016,"NORTH CAROLINA","NC","ALEXANDER",37003,"PRESIDENT","DONALD TRUMP","REPUBLICAN",13893,18271,20191203,"TOTAL",76.0385310054184
"108",2020,"NORTH CAROLINA","NC","ALEXANDER",37003,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",12251,20236,20210622,"ONE STOP",60.5406206760229
